model,split,condition,author_id,precision,recall,f1,support
diagonal_gaussian_nb,test,modernize,poe,0.4,0.222222,0.285714,9
diagonal_gaussian_nb,test,modernize,shelley,0.384615,0.555556,0.454545,9
diagonal_gaussian_nb,test,modernize,twain,1.0,0.444444,0.615385,9
diagonal_gaussian_nb,test,modernize,wilde,0.777778,0.777778,0.777778,9
diagonal_gaussian_nb,test,simplify,austen,0.8,0.888889,0.842105,9
diagonal_gaussian_nb,test,simplify,dickens,0.285714,0.444444,0.347826,9
diagonal_gaussian_nb,test,simplify,poe,0.5,0.222222,0.307692,9
diagonal_gaussian_nb,test,simplify,shelley,0.3,0.333333,0.315789,9
diagonal_gaussian_nb,test,simplify,twain,1.0,0.222222,0.363636,9
diagonal_gaussian_nb,test,simplify,wilde,0.428571,0.666667,0.521739,9
linear_discriminant_shrinkage,validation,original,austen,0.777778,0.777778,0.777778,9
linear_discriminant_shrinkage,validation,original,dickens,0.666667,0.888889,0.761905,9
linear_discriminant_shrinkage,validation,original,poe,0.636364,0.777778,0.7,9
linear_discriminant_shrinkage,validation,original,shelley,0.636364,0.777778,0.7,9
linear_discriminant_shrinkage,validation,original,twain,0.75,0.333333,0.461538,9
linear_discriminant_shrinkage,validation,original,wilde,0.571429,0.444444,0.5,9
linear_discriminant_shrinkage,validation,paraphrase,austen,0.857143,0.666667,0.75,9
linear_discriminant_shrinkage,validation,paraphrase,dickens,0.4,0.222222,0.285714,9
linear_discriminant_shrinkage,validation,paraphrase,poe,0.571429,0.444444,0.5,9
linear_discriminant_shrinkage,validation,paraphrase,shelley,0.444444,0.888889,0.592593,9
linear_discriminant_shrinkage,validation,paraphrase,twain,0.0,0.0,0.0,9
linear_discriminant_shrinkage,validation,paraphrase,wilde,0.411765,0.777778,0.538462,9
linear_discriminant_shrinkage,validation,modernize,austen,0.777778,0.777778,0.777778,9
linear_discriminant_shrinkage,validation,modernize,dickens,0.428571,0.333333,0.375,9
linear_discriminant_shrinkage,validation,modernize,poe,0.666667,0.444444,0.533333,9
linear_discriminant_shrinkage,validation,modernize,shelley,0.615385,0.888889,0.727273,9
linear_discriminant_shrinkage,validation,modernize,twain,1.0,0.222222,0.363636,9
linear_discriminant_shrinkage,validation,modernize,wilde,0.294118,0.555556,0.384615,9
linear_discriminant_shrinkage,validation,simplify,austen,0.666667,0.888889,0.761905,9
linear_discriminant_shrinkage,validation,simplify,dickens,0.0,0.0,0.0,9
linear_discriminant_shrinkage,validation,simplify,poe,0.333333,0.111111,0.166667,9
linear_discriminant_shrinkage,validation,simplify,shelley,0.583333,0.777778,0.666667,9
linear_discriminant_shrinkage,validation,simplify,twain,1.0,0.111111,0.2,9
linear_discriminant_shrinkage,validation,simplify,wilde,0.272727,0.666667,0.387097,9
linear_discriminant_shrinkage,test,original,austen,0.9,1.0,0.947368,9
linear_discriminant_shrinkage,test,original,dickens,0.75,0.666667,0.705882,9
linear_discriminant_shrinkage,test,original,poe,0.666667,0.666667,0.666667,9
linear_discriminant_shrinkage,test,original,shelley,0.727273,0.888889,0.8,9
linear_discriminant_shrinkage,test,original,twain,1.0,0.777778,0.875,9
linear_discriminant_shrinkage,test,original,wilde,0.666667,0.666667,0.666667,9
linear_discriminant_shrinkage,test,paraphrase,austen,0.666667,0.888889,0.761905,9
linear_discriminant_shrinkage,test,paraphrase,dickens,0.5,0.222222,0.307692,9
linear_discriminant_shrinkage,test,paraphrase,poe,0.5,0.333333,0.4,9
linear_discriminant_shrinkage,test,paraphrase,shelley,0.411765,0.777778,0.538462,9
linear_discriminant_shrinkage,test,paraphrase,twain,0.0,0.0,0.0,9
linear_discriminant_shrinkage,test,paraphrase,wilde,0.266667,0.444444,0.333333,9
linear_discriminant_shrinkage,test,modernize,austen,0.9,1.0,0.947368,9
linear_discriminant_shrinkage,test,modernize,dickens,0.5,0.333333,0.4,9
linear_discriminant_shrinkage,test,modernize,poe,0.5,0.333333,0.4,9
linear_discriminant_shrinkage,test,modernize,shelley,0.583333,0.777778,0.666667,9
linear_discriminant_shrinkage,test,modernize,twain,1.0,0.444444,0.615385,9
linear_discriminant_shrinkage,test,modernize,wilde,0.4375,0.777778,0.56,9
linear_discriminant_shrinkage,test,simplify,austen,0.642857,1.0,0.782609,9
linear_discriminant_shrinkage,test,simplify,dickens,0.5,0.222222,0.307692,9
linear_discriminant_shrinkage,test,simplify,poe,0.6,0.333333,0.428571,9
linear_discriminant_shrinkage,test,simplify,shelley,0.25,0.222222,0.235294,9
linear_discriminant_shrinkage,test,simplify,twain,1.0,0.222222,0.363636,9
linear_discriminant_shrinkage,test,simplify,wilde,0.285714,0.666667,0.4,9
