model,split,actual_author,predicted_author,count
diagonal_gaussian_nb,validation,dickens,austen,0
diagonal_gaussian_nb,validation,dickens,dickens,9
diagonal_gaussian_nb,validation,dickens,poe,0
diagonal_gaussian_nb,validation,dickens,shelley,0
diagonal_gaussian_nb,validation,dickens,twain,0
diagonal_gaussian_nb,validation,dickens,wilde,0
diagonal_gaussian_nb,validation,poe,austen,0
diagonal_gaussian_nb,validation,poe,dickens,0
diagonal_gaussian_nb,validation,poe,poe,7
diagonal_gaussian_nb,validation,poe,shelley,1
diagonal_gaussian_nb,validation,poe,twain,1
diagonal_gaussian_nb,validation,poe,wilde,0
diagonal_gaussian_nb,validation,shelley,austen,0
diagonal_gaussian_nb,validation,shelley,dickens,0
diagonal_gaussian_nb,validation,shelley,poe,1
diagonal_gaussian_nb,validation,shelley,shelley,8
diagonal_gaussian_nb,validation,shelley,twain,0
diagonal_gaussian_nb,validation,shelley,wilde,0
diagonal_gaussian_nb,validation,twain,austen,1
diagonal_gaussian_nb,validation,twain,dickens,4
diagonal_gaussian_nb,validation,twain,poe,0
diagonal_gaussian_nb,validation,twain,shelley,0
diagonal_gaussian_nb,validation,twain,twain,3
diagonal_gaussian_nb,validation,twain,wilde,1
diagonal_gaussian_nb,validation,wilde,austen,0
diagonal_gaussian_nb,validation,wilde,dickens,5
diagonal_gaussian_nb,validation,wilde,poe,0
diagonal_gaussian_nb,validation,wilde,shelley,1
diagonal_gaussian_nb,validation,wilde,twain,0
diagonal_gaussian_nb,validation,wilde,wilde,3
diagonal_gaussian_nb,test,austen,austen,9
diagonal_gaussian_nb,test,austen,dickens,0
diagonal_gaussian_nb,test,austen,poe,0
diagonal_gaussian_nb,test,austen,shelley,0
diagonal_gaussian_nb,test,austen,twain,0
diagonal_gaussian_nb,test,austen,wilde,0
diagonal_gaussian_nb,test,dickens,austen,1
diagonal_gaussian_nb,test,dickens,dickens,8
diagonal_gaussian_nb,test,dickens,poe,0
diagonal_gaussian_nb,test,dickens,shelley,0
diagonal_gaussian_nb,test,dickens,twain,0
diagonal_gaussian_nb,test,dickens,wilde,0
diagonal_gaussian_nb,test,poe,austen,0
diagonal_gaussian_nb,test,poe,dickens,0
diagonal_gaussian_nb,test,poe,poe,6
diagonal_gaussian_nb,test,poe,shelley,2
diagonal_gaussian_nb,test,poe,twain,1
diagonal_gaussian_nb,test,poe,wilde,0
diagonal_gaussian_nb,test,shelley,austen,0
diagonal_gaussian_nb,test,shelley,dickens,1
diagonal_gaussian_nb,test,shelley,poe,2
diagonal_gaussian_nb,test,shelley,shelley,6
diagonal_gaussian_nb,test,shelley,twain,0
diagonal_gaussian_nb,test,shelley,wilde,0
diagonal_gaussian_nb,test,twain,austen,0
diagonal_gaussian_nb,test,twain,dickens,3
diagonal_gaussian_nb,test,twain,poe,0
diagonal_gaussian_nb,test,twain,shelley,0
diagonal_gaussian_nb,test,twain,twain,6
diagonal_gaussian_nb,test,twain,wilde,0
diagonal_gaussian_nb,test,wilde,austen,0
diagonal_gaussian_nb,test,wilde,dickens,0
diagonal_gaussian_nb,test,wilde,poe,0
diagonal_gaussian_nb,test,wilde,shelley,3
diagonal_gaussian_nb,test,wilde,twain,0
diagonal_gaussian_nb,test,wilde,wilde,6
linear_discriminant_shrinkage,validation,austen,austen,7
linear_discriminant_shrinkage,validation,austen,dickens,0
linear_discriminant_shrinkage,validation,austen,poe,0
linear_discriminant_shrinkage,validation,austen,shelley,1
linear_discriminant_shrinkage,validation,austen,twain,0
linear_discriminant_shrinkage,validation,austen,wilde,1
linear_discriminant_shrinkage,validation,dickens,austen,1
linear_discriminant_shrinkage,validation,dickens,dickens,8
linear_discriminant_shrinkage,validation,dickens,poe,0
linear_discriminant_shrinkage,validation,dickens,shelley,0
linear_discriminant_shrinkage,validation,dickens,twain,0
linear_discriminant_shrinkage,validation,dickens,wilde,0
linear_discriminant_shrinkage,validation,poe,austen,0
linear_discriminant_shrinkage,validation,poe,dickens,0
linear_discriminant_shrinkage,validation,poe,poe,7
linear_discriminant_shrinkage,validation,poe,shelley,2
linear_discriminant_shrinkage,validation,poe,twain,0
linear_discriminant_shrinkage,validation,poe,wilde,0
linear_discriminant_shrinkage,validation,shelley,austen,0
linear_discriminant_shrinkage,validation,shelley,dickens,0
linear_discriminant_shrinkage,validation,shelley,poe,2
linear_discriminant_shrinkage,validation,shelley,shelley,7
linear_discriminant_shrinkage,validation,shelley,twain,0
linear_discriminant_shrinkage,validation,shelley,wilde,0
linear_discriminant_shrinkage,validation,twain,austen,1
linear_discriminant_shrinkage,validation,twain,dickens,1
linear_discriminant_shrinkage,validation,twain,poe,2
linear_discriminant_shrinkage,validation,twain,shelley,0
linear_discriminant_shrinkage,validation,twain,twain,3
linear_discriminant_shrinkage,validation,twain,wilde,2
linear_discriminant_shrinkage,validation,wilde,austen,0
linear_discriminant_shrinkage,validation,wilde,dickens,3
linear_discriminant_shrinkage,validation,wilde,poe,0
linear_discriminant_shrinkage,validation,wilde,shelley,1
linear_discriminant_shrinkage,validation,wilde,twain,1
linear_discriminant_shrinkage,validation,wilde,wilde,4
linear_discriminant_shrinkage,test,austen,austen,9
linear_discriminant_shrinkage,test,austen,dickens,0
linear_discriminant_shrinkage,test,austen,poe,0
linear_discriminant_shrinkage,test,austen,shelley,0
linear_discriminant_shrinkage,test,austen,twain,0
linear_discriminant_shrinkage,test,austen,wilde,0
linear_discriminant_shrinkage,test,dickens,austen,1
linear_discriminant_shrinkage,test,dickens,dickens,6
linear_discriminant_shrinkage,test,dickens,poe,0
linear_discriminant_shrinkage,test,dickens,shelley,0
linear_discriminant_shrinkage,test,dickens,twain,0
linear_discriminant_shrinkage,test,dickens,wilde,2
linear_discriminant_shrinkage,test,poe,austen,0
linear_discriminant_shrinkage,test,poe,dickens,1
linear_discriminant_shrinkage,test,poe,poe,6
linear_discriminant_shrinkage,test,poe,shelley,2
linear_discriminant_shrinkage,test,poe,twain,0
linear_discriminant_shrinkage,test,poe,wilde,0
linear_discriminant_shrinkage,test,shelley,austen,0
linear_discriminant_shrinkage,test,shelley,dickens,0
linear_discriminant_shrinkage,test,shelley,poe,1
linear_discriminant_shrinkage,test,shelley,shelley,8
linear_discriminant_shrinkage,test,shelley,twain,0
linear_discriminant_shrinkage,test,shelley,wilde,0
linear_discriminant_shrinkage,test,twain,austen,0
linear_discriminant_shrinkage,test,twain,dickens,1
linear_discriminant_shrinkage,test,twain,poe,0
linear_discriminant_shrinkage,test,twain,shelley,0
linear_discriminant_shrinkage,test,twain,twain,7
linear_discriminant_shrinkage,test,twain,wilde,1
linear_discriminant_shrinkage,test,wilde,austen,0
linear_discriminant_shrinkage,test,wilde,dickens,0
linear_discriminant_shrinkage,test,wilde,poe,2
linear_discriminant_shrinkage,test,wilde,shelley,1
linear_discriminant_shrinkage,test,wilde,twain,0
linear_discriminant_shrinkage,test,wilde,wilde,6
